sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0121,Lighting,Floor Lamps,2024-01-01,587.2,1176.99
SKU0122,Small Appliances,Blenders,2024-05-30,1334.94,2849.76
SKU0123,Lighting,Floor Lamps,2024-10-27,1703.41,2590.23
SKU0124,Furniture,Sofas,2024-05-30,2611.54,5548.32
SKU0125,Lighting,Floor Lamps,2024-01-01,2421.18,4244.38
SKU0126,Decor,Candles,2024-03-01,2257.67,4076.94
SKU0127,Lighting,Floor Lamps,2024-01-01,3470.1,7823.58
SKU0128,Furniture,Shelving,2024-05-30,3110.33,4539.88
SKU0129,Furniture,Tables,2024-01-01,1415.69,2789.0
SKU0130,Furniture,Sofas,2024-01-01,1921.46,3701.29
SKU0131,Decor,Mirrors,2024-01-01,850.24,1454.85
SKU0132,Lighting,String Lights,2024-01-01,3896.47,7565.94
SKU0133,Furniture,Chairs,2024-01-01,1222.57,1906.36
SKU0134,Furniture,Chairs,2024-01-01,1520.57,3352.55
SKU0135,Furniture,Tables,2024-01-01,301.35,638.7
SKU0136,Small Appliances,Fans,2024-01-01,754.36,1312.25
SKU0137,Furniture,Shelving,2024-05-30,3030.8,4746.44
SKU0138,Furniture,Sofas,2025-03-26,1059.05,2207.02
SKU0139,Small Appliances,Blenders,2024-03-01,291.23,473.89
SKU0140,Textiles,Rugs,2024-05-30,3036.02,4333.69
SKU0141,Lighting,Floor Lamps,2024-01-01,1083.51,1779.47
SKU0142,Decor,Vases,2024-01-01,3386.73,5013.32
SKU0143,Small Appliances,Kettles,2024-10-27,2435.33,4897.92
SKU0144,Textiles,Cushions,2024-01-01,2399.17,4949.82
SKU0145,Small Appliances,Lamps,2024-01-01,641.18,1061.41
SKU0146,Decor,Vases,2024-01-01,1090.76,2016.19
SKU0147,Decor,Wall Art,2024-01-01,541.86,833.15
SKU0148,Furniture,Shelving,2024-10-27,488.37,1037.92
SKU0149,Furniture,Chairs,2024-01-01,2169.37,3838.39
SKU0150,Lighting,String Lights,2024-10-27,2367.59,5269.44
SKU0151,Furniture,Tables,2024-01-01,807.92,1617.28
SKU0152,Lighting,String Lights,2024-01-01,1984.99,4277.11
SKU0153,Furniture,Tables,2024-01-01,1787.93,3319.92
SKU0154,Furniture,Sofas,2024-03-01,3105.95,4592.34
SKU0155,Small Appliances,Fans,2024-01-01,2200.47,3183.29
SKU0156,Decor,Vases,2024-01-01,2263.35,3579.62
SKU0157,Small Appliances,Lamps,2024-01-01,2773.79,5781.15
SKU0158,Small Appliances,Lamps,2024-01-01,3208.01,4799.28
SKU0159,Lighting,Floor Lamps,2024-01-01,2963.84,6652.36
SKU0160,Furniture,Sofas,2025-03-26,2928.15,4226.16
SKU0161,Textiles,Rugs,2024-05-30,926.27,1433.21
SKU0162,Furniture,Chairs,2024-01-01,2589.97,5742.17
SKU0163,Decor,Vases,2024-01-01,3293.91,5913.3
SKU0164,Decor,Candles,2024-01-01,2228.16,3999.26
SKU0165,Small Appliances,Kettles,2024-10-27,1627.98,3075.58
SKU0166,Lighting,String Lights,2024-01-01,1811.38,3078.5
SKU0167,Textiles,Throws,2024-01-01,3207.0,6279.52
SKU0168,Small Appliances,Fans,2024-01-01,3991.12,8290.21
SKU0169,Textiles,Rugs,2024-03-01,279.1,533.89
SKU0170,Textiles,Rugs,2024-03-01,546.23,1028.46
SKU0171,Decor,Wall Art,2024-01-01,1679.56,3556.58
SKU0172,Furniture,Sofas,2024-01-01,3121.75,4404.74
SKU0173,Small Appliances,Lamps,2024-01-01,1119.43,1915.49
SKU0174,Furniture,Tables,2024-01-01,1025.3,1826.3
SKU0175,Decor,Candles,2024-01-01,2406.98,4465.67
SKU0176,Small Appliances,Fans,2024-03-01,2432.91,3629.88
SKU0177,Lighting,Table Lamps,2025-03-26,2872.87,4416.42
SKU0178,Small Appliances,Blenders,2024-01-01,447.69,668.77
SKU0179,Textiles,Rugs,2024-01-01,585.97,1339.74
SKU0180,Textiles,Throws,2024-05-30,1428.76,2400.75
SKU0181,Furniture,Sofas,2024-01-01,360.83,614.02
SKU0182,Textiles,Cushions,2024-01-01,589.93,1045.98
SKU0183,Lighting,Floor Lamps,2024-01-01,1485.77,3066.26
SKU0184,Decor,Candles,2024-01-01,3664.09,5948.3
SKU0185,Small Appliances,Lamps,2024-01-01,3672.16,6338.72
SKU0186,Small Appliances,Blenders,2024-01-01,968.82,1805.55
SKU0187,Lighting,Table Lamps,2024-01-01,1746.3,2578.96
SKU0188,Lighting,Table Lamps,2024-01-01,1343.26,2360.9
SKU0189,Decor,Mirrors,2024-10-27,939.79,1476.99
SKU0190,Furniture,Tables,2024-05-30,2411.7,4014.61
SKU0191,Textiles,Throws,2024-01-01,1846.94,3251.88
SKU0192,Small Appliances,Fans,2024-01-01,1437.3,2109.89
SKU0193,Textiles,Throws,2024-01-01,2629.4,4648.41
SKU0194,Furniture,Shelving,2024-05-30,3487.93,6163.82
SKU0195,Small Appliances,Fans,2024-01-01,2736.79,3880.06
SKU0196,Furniture,Sofas,2024-01-01,3566.72,6780.51
SKU0197,Textiles,Rugs,2024-01-01,2930.73,6360.06
SKU0198,Textiles,Curtains,2025-03-26,693.17,1223.97
SKU0199,Decor,Vases,2024-01-01,479.21,760.55
SKU0200,Furniture,Chairs,2024-10-27,2625.26,5338.6
