date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-01-27,SKU0001,111,122,14.0,132
2025-02-03,SKU0001,149,273,14.0,132
2025-02-10,SKU0001,151,138,14.0,132
2025-02-17,SKU0001,171,211,14.0,132
2025-02-24,SKU0001,177,190,14.0,132
2025-03-03,SKU0001,142,0,14.0,132
2025-03-10,SKU0001,137,286,14.0,132
2025-03-17,SKU0001,168,143,14.0,132
2025-03-24,SKU0001,139,0,14.0,132
2025-03-31,SKU0001,123,244,14.0,132
2025-04-07,SKU0001,78,132,14.0,132
2025-04-14,SKU0001,47,159,14.0,132
2025-04-21,SKU0001,75,250,14.0,132
2025-04-28,SKU0001,79,238,14.0,132
2025-05-05,SKU0001,63,211,14.0,132
2025-05-12,SKU0001,133,281,14.0,132
2025-05-19,SKU0001,158,140,14.0,132
2025-05-26,SKU0001,164,273,14.0,132
2025-06-02,SKU0001,134,0,14.0,132
2025-06-09,SKU0001,110,116,14.0,132
2025-06-16,SKU0001,147,282,14.0,132
2025-06-23,SKU0001,160,252,14.0,132
2025-06-30,SKU0001,132,0,14.0,132
2025-07-07,SKU0001,103,126,14.0,132
2025-07-14,SKU0001,150,273,14.0,132
2025-07-21,SKU0001,142,188,14.0,132
2025-07-28,SKU0001,153,230,14.0,132
2025-08-04,SKU0001,161,240,14.0,132
2025-08-11,SKU0001,150,0,14.0,132
2025-08-18,SKU0001,179,183,14.0,132
2025-08-25,SKU0001,168,221,14.0,132
2025-09-01,SKU0001,146,179,14.0,132
2025-09-08,SKU0001,126,180,14.0,132
2025-09-15,SKU0001,189,297,14.0,132
2025-09-22,SKU0001,163,243,14.0,132
2025-09-29,SKU0001,142,0,14.0,132
2025-10-06,SKU0001,146,262,14.0,132
2025-10-13,SKU0001,141,155,14.0,132
2025-10-20,SKU0001,175,268,14.0,132
2025-10-27,SKU0001,171,193,14.0,132
2025-11-03,SKU0001,136,134,14.0,132
2025-11-10,SKU0001,175,203,14.0,132
2025-11-17,SKU0001,160,0,14.0,132
2025-11-24,SKU0001,156,239,14.0,132
2025-12-01,SKU0001,152,259,14.0,132
2025-12-08,SKU0001,183,272,14.0,132
2025-12-15,SKU0001,138,0,14.0,132
2025-12-22,SKU0001,138,103,14.0,132
2025-12-29,SKU0001,126,264,14.0,132
2024-01-01,SKU0002,202,280,,135
2024-01-08,SKU0002,179,0,7.0,135
2024-01-15,SKU0002,136,0,7.0,135
2024-01-22,SKU0002,164,134,7.0,135
2024-01-29,SKU0002,142,165,7.0,135
2024-02-05,SKU0002,147,204,7.0,135
2024-02-12,SKU0002,142,236,7.0,135
2024-02-19,SKU0002,113,184,7.0,135
2024-02-26,SKU0002,59,131,7.0,135
2024-03-04,SKU0002,69,232,7.0,135
2024-03-11,SKU0002,37,124,7.0,135
2024-03-18,SKU0002,35,117,7.0,135
2024-03-25,SKU0002,102,289,7.0,135
2024-04-01,SKU0002,101,132,7.0,135
2024-04-08,SKU0002,139,206,7.0,135
2024-04-15,SKU0002,146,259,7.0,135
2024-04-22,SKU0002,151,232,7.0,135
2024-04-29,SKU0002,191,245,7.0,135
2024-05-06,SKU0002,172,0,7.0,135
2024-05-13,SKU0002,144,0,7.0,135
2024-05-20,SKU0002,148,203,7.0,135
2024-05-27,SKU0002,159,254,7.0,135
2024-06-03,SKU0002,119,194,7.0,135
2024-06-10,SKU0002,118,109,7.0,135
2024-06-17,SKU0002,119,197,7.0,135
2024-06-24,SKU0002,89,203,7.0,135
2024-07-01,SKU0002,104,237,7.0,135
2024-07-08,SKU0002,123,272,7.0,135
2024-07-15,SKU0002,129,201,7.0,135
2024-07-22,SKU0002,158,253,7.0,135
2024-07-29,SKU0002,153,197,7.0,135
2024-08-05,SKU0002,135,0,7.0,135
2024-08-12,SKU0002,157,272,7.0,135
2024-08-19,SKU0002,167,140,7.0,135
2024-08-26,SKU0002,159,148,7.0,135
2024-09-02,SKU0002,202,292,7.0,135
2024-09-09,SKU0002,162,0,7.0,135
2024-09-16,SKU0002,136,0,7.0,135
2024-09-23,SKU0002,178,186,7.0,135
2024-09-30,SKU0002,165,131,7.0,135
2024-10-07,SKU0002,158,227,7.0,135
2024-10-14,SKU0002,140,0,7.0,135
2024-10-21,SKU0002,163,251,7.0,135
2024-10-28,SKU0002,202,228,7.0,135
2024-11-04,SKU0002,148,138,7.0,135
2024-11-11,SKU0002,124,106,7.0,135
2024-11-18,SKU0002,84,101,7.0,135
2024-11-25,SKU0002,133,264,7.0,135
2024-12-02,SKU0002,171,215,7.0,135
2024-12-09,SKU0002,163,237,7.0,135
2024-12-16,SKU0002,161,186,7.0,135
2024-12-23,SKU0002,144,0,7.0,135
2024-12-30,SKU0002,149,112,7.0,135
2025-01-06,SKU0002,185,276,7.0,135
2025-01-13,SKU0002,202,285,7.0,135
2025-01-20,SKU0002,142,0,7.0,135
2025-01-27,SKU0002,139,272,7.0,135
2025-02-03,SKU0002,108,133,7.0,135
2025-02-10,SKU0002,98,168,7.0,135
2025-02-17,SKU0002,57,112,7.0,135
2025-02-24,SKU0002,30,102,7.0,135
2025-03-03,SKU0002,33,110,7.0,135
2025-03-10,SKU0002,80,268,7.0,135
2025-03-17,SKU0002,80,134,7.0,135
2025-03-24,SKU0002,75,188,7.0,135
2025-03-31,SKU0002,89,123,7.0,135
2025-04-07,SKU0002,103,231,7.0,135
2025-04-14,SKU0002,103,139,7.0,135
2025-04-21,SKU0002,53,119,7.0,135
2025-04-28,SKU0002,81,272,7.0,135
2025-05-05,SKU0002,47,159,7.0,135
2025-05-12,SKU0002,61,191,7.0,135
2025-05-19,SKU0002,85,285,7.0,135
2025-05-26,SKU0002,106,241,7.0,135
2025-06-02,SKU0002,112,208,7.0,135
2025-06-09,SKU0002,93,260,7.0,135
2025-06-16,SKU0002,118,221,7.0,135
2025-06-23,SKU0002,70,169,7.0,135
2025-06-30,SKU0002,53,179,7.0,135
2025-07-07,SKU0002,41,112,7.0,135
2025-07-14,SKU0002,80,266,7.0,135
2025-07-21,SKU0002,81,257,7.0,135
2025-07-28,SKU0002,49,150,7.0,135
2025-08-04,SKU0002,42,142,7.0,135
2025-08-11,SKU0002,80,215,7.0,135
2025-08-18,SKU0002,142,283,7.0,135
2025-08-25,SKU0002,101,101,7.0,135
2025-09-01,SKU0002,162,242,7.0,135
2025-09-08,SKU0002,153,295,7.0,135
2025-09-15,SKU0002,169,282,7.0,135
2025-09-22,SKU0002,153,0,7.0,135
2025-09-29,SKU0002,98,116,7.0,135
2025-10-06,SKU0002,72,200,7.0,135
2025-10-13,SKU0002,62,157,7.0,135
2025-10-20,SKU0002,78,260,,135
2025-10-27,SKU0002,100,260,7.0,135
2025-11-03,SKU0002,68,214,7.0,135
2025-11-10,SKU0002,96,248,7.0,135
2025-11-17,SKU0002,137,189,7.0,135
2025-11-24,SKU0002,82,142,7.0,135
2025-12-01,SKU0002,127,194,7.0,135
2025-12-08,SKU0002,98,220,7.0,135
2025-12-15,SKU0002,86,254,7.0,135
2025-12-22,SKU0002,52,133,7.0,135
2025-12-29,SKU0002,81,270,7.0,135
2024-01-01,SKU0003,354,0,30.0,39
2024-01-08,SKU0003,269,0,30.0,39
2024-01-15,SKU0003,255,0,30.0,39
2024-01-22,SKU0003,181,0,30.0,39
2024-01-29,SKU0003,107,0,30.0,39
2024-02-05,SKU0003,105,244,30.0,39
2024-02-12,SKU0003,59,0,30.0,39
2024-02-19,SKU0003,64,124,30.0,39
2024-02-26,SKU0003,79,266,30.0,39
2024-03-04,SKU0003,68,0,30.0,39
2024-03-11,SKU0003,44,0,30.0,39
2024-03-18,SKU0003,91,289,30.0,39
2024-03-25,SKU0003,64,155,30.0,39
2024-04-01,SKU0003,48,0,30.0,39
2024-04-08,SKU0003,36,123,30.0,39
2024-04-15,SKU0003,58,195,30.0,39
2024-04-22,SKU0003,80,198,30.0,39
2024-04-29,SKU0003,46,136,30.0,39
2024-05-06,SKU0003,66,222,30.0,39
2024-05-13,SKU0003,47,0,30.0,39
2024-05-20,SKU0003,67,225,30.0,39
2024-05-27,SKU0003,51,0,30.0,39
2024-06-03,SKU0003,73,245,30.0,39
2024-06-10,SKU0003,81,272,30.0,39
2024-06-17,SKU0003,90,236,30.0,39
2024-06-24,SKU0003,86,278,30.0,39
2024-07-01,SKU0003,110,299,30.0,39
2024-07-08,SKU0003,64,0,30.0,39
2024-07-15,SKU0003,65,196,30.0,39
2024-07-22,SKU0003,49,0,30.0,39
2024-07-29,SKU0003,52,176,30.0,39
2024-08-05,SKU0003,70,133,30.0,39
2024-08-12,SKU0003,89,297,30.0,39
2024-08-19,SKU0003,44,122,30.0,39
2024-08-26,SKU0003,56,187,30.0,39
2024-09-02,SKU0003,47,110,30.0,39
2024-09-09,SKU0003,84,224,30.0,39
2024-09-16,SKU0003,106,284,30.0,39
2024-09-23,SKU0003,78,0,30.0,39
2024-09-30,SKU0003,87,241,30.0,39
2024-10-07,SKU0003,90,179,30.0,39
2024-10-14,SKU0003,47,0,30.0,39
2024-10-21,SKU0003,59,198,30.0,39
2024-10-28,SKU0003,44,147,30.0,39
2024-11-04,SKU0003,72,187,30.0,39
2024-11-11,SKU0003,55,123,30.0,39
2024-11-18,SKU0003,81,200,30.0,39
2024-11-25,SKU0003,65,133,30.0,39
2024-12-02,SKU0003,54,0,30.0,39
2024-12-09,SKU0003,82,274,30.0,39
2024-12-16,SKU0003,91,219,30.0,39
2024-12-23,SKU0003,68,205,30.0,39
2024-12-30,SKU0003,34,114,30.0,39
2025-01-06,SKU0003,76,216,30.0,39
2025-01-13,SKU0003,35,119,30.0,39
2025-01-20,SKU0003,39,132,30.0,39
2025-01-27,SKU0003,50,168,30.0,39
2025-02-03,SKU0003,44,127,30.0,39
2025-02-10,SKU0003,88,221,30.0,39
2025-02-17,SKU0003,61,0,30.0,39
2025-02-24,SKU0003,77,259,30.0,39
2025-03-03,SKU0003,86,178,30.0,39
2025-03-10,SKU0003,85,259,30.0,39
2025-03-17,SKU0003,69,224,30.0,39
2025-03-24,SKU0003,61,202,30.0,39
2025-03-31,SKU0003,47,158,30.0,39
2025-04-07,SKU0003,85,284,30.0,39
2025-04-14,SKU0003,68,169,30.0,39
2025-04-21,SKU0003,53,176,30.0,39
2025-04-28,SKU0003,54,183,30.0,39
2025-05-05,SKU0003,63,209,30.0,39
2025-05-12,SKU0003,43,144,30.0,39
2025-05-19,SKU0003,39,130,30.0,39
2025-05-26,SKU0003,85,286,30.0,39
2025-06-02,SKU0003,50,0,30.0,39
2025-06-09,SKU0003,73,246,30.0,39
2025-06-16,SKU0003,82,272,30.0,39
2025-06-23,SKU0003,89,254,30.0,39
2025-06-30,SKU0003,41,0,30.0,39
2025-07-07,SKU0003,78,261,30.0,39
2025-07-14,SKU0003,31,104,30.0,39
2025-07-21,SKU0003,71,239,30.0,39
2025-07-28,SKU0003,61,0,30.0,39
2025-08-04,SKU0003,94,290,30.0,39
2025-08-11,SKU0003,88,274,30.0,39
2025-08-18,SKU0003,41,0,30.0,39
2025-08-25,SKU0003,71,155,30.0,39
2025-09-01,SKU0003,55,0,30.0,39
2025-09-08,SKU0003,43,145,30.0,39
2025-09-15,SKU0003,53,177,30.0,39
2025-09-22,SKU0003,87,293,30.0,39
2025-09-29,SKU0003,38,127,30.0,39
2025-10-06,SKU0003,61,148,30.0,39
2025-10-13,SKU0003,50,0,30.0,39
2025-10-20,SKU0003,84,283,30.0,39
2025-10-27,SKU0003,51,145,30.0,39
2025-11-03,SKU0003,36,122,30.0,39
2025-11-10,SKU0003,63,151,30.0,39
2025-11-17,SKU0003,89,297,30.0,39
2025-11-24,SKU0003,54,181,30.0,39
2025-12-01,SKU0003,41,0,30.0,39
2025-12-08,SKU0003,30,100,30.0,39
2025-12-15,SKU0003,80,269,30.0,39
2025-12-22,SKU0003,74,165,30.0,39
2025-12-29,SKU0003,51,0,30.0,39
2024-01-01,SKU0004,135,0,21.0,28
2024-01-08,SKU0004,124,0,21.0,28
2024-01-15,SKU0004,100,0,21.0,28
2024-01-22,SKU0004,84,0,21.0,28
2024-01-29,SKU0004,39,0,21.0,28
2024-02-05,SKU0004,95,291,21.0,28
2024-02-12,SKU0004,72,0,21.0,28
2024-02-19,SKU0004,112,285,21.0,28
2024-02-26,SKU0004,93,0,21.0,28
2024-03-04,SKU0004,49,153,21.0,28
2024-03-11,SKU0004,32,105,21.0,28
2024-03-18,SKU0004,63,210,21.0,28
2024-03-25,SKU0004,67,224,21.0,28
2024-04-01,SKU0004,33,111,21.0,28
2024-04-08,SKU0004,75,250,21.0,28
2024-04-15,SKU0004,78,263,21.0,28
2024-04-22,SKU0004,36,120,21.0,28
2024-04-29,SKU0004,76,233,21.0,28
2024-05-06,SKU0004,110,276,21.0,28
2024-05-13,SKU0004,59,0,21.0,28
2024-05-20,SKU0004,41,138,21.0,28
2024-05-27,SKU0004,28,0,21.0,28
2024-06-03,SKU0004,51,171,21.0,28
2024-06-10,SKU0004,74,202,21.0,28
2024-06-17,SKU0004,59,0,21.0,28
2024-06-24,SKU0004,29,0,21.0,28
2024-07-01,SKU0004,68,229,21.0,28
2024-07-08,SKU0004,59,122,21.0,28
2024-07-15,SKU0004,40,134,21.0,28
2024-07-22,SKU0004,93,238,21.0,28
2024-07-29,SKU0004,71,191,21.0,28
2024-08-05,SKU0004,85,277,21.0,28
2024-08-12,SKU0004,67,0,21.0,28
2024-08-19,SKU0004,76,173,21.0,28
2024-08-26,SKU0004,56,112,21.0,28
2024-09-02,SKU0004,64,215,21.0,28
2024-09-09,SKU0004,62,157,21.0,28
2024-09-16,SKU0004,40,0,21.0,28
2024-09-23,SKU0004,99,244,21.0,28
2024-09-30,SKU0004,76,0,21.0,28
2024-10-07,SKU0004,88,295,21.0,28
2024-10-14,SKU0004,45,0,21.0,28
2024-10-21,SKU0004,48,155,21.0,28
2024-10-28,SKU0004,55,185,21.0,28
2024-11-04,SKU0004,75,251,21.0,28
2024-11-11,SKU0004,79,201,21.0,28
2024-11-18,SKU0004,81,191,21.0,28
2024-11-25,SKU0004,44,148,21.0,28
2024-12-02,SKU0004,35,106,21.0,28
2024-12-09,SKU0004,83,278,21.0,28
2024-12-16,SKU0004,64,216,21.0,28
2024-12-23,SKU0004,57,191,21.0,28
2024-12-30,SKU0004,42,0,21.0,28
2025-01-06,SKU0004,76,200,21.0,28
2025-01-13,SKU0004,53,0,21.0,28
2025-01-20,SKU0004,57,192,21.0,28
2025-01-27,SKU0004,38,128,21.0,28
2025-02-03,SKU0004,37,126,21.0,28
2025-02-10,SKU0004,38,127,21.0,28
2025-02-17,SKU0004,73,153,21.0,28
2025-02-24,SKU0004,79,262,21.0,28
2025-03-03,SKU0004,42,0,21.0,28
2025-03-10,SKU0004,69,230,21.0,28
2025-03-17,SKU0004,40,135,,28
2025-03-24,SKU0004,74,230,21.0,28
2025-03-31,SKU0004,78,262,21.0,28
2025-04-07,SKU0004,66,222,21.0,28
2025-04-14,SKU0004,61,199,21.0,28
2025-04-21,SKU0004,61,193,21.0,28
2025-04-28,SKU0004,37,0,21.0,28
2025-05-05,SKU0004,46,154,21.0,28
2025-05-12,SKU0004,47,159,21.0,28
2025-05-19,SKU0004,66,217,21.0,28
2025-05-26,SKU0004,28,0,21.0,28
2025-06-02,SKU0004,82,274,21.0,28
2025-06-09,SKU0004,30,0,21.0,28
2025-06-16,SKU0004,43,100,21.0,28
2025-06-23,SKU0004,77,224,21.0,28
2025-06-30,SKU0004,38,0,21.0,28
2025-07-07,SKU0004,67,224,21.0,28
2025-07-14,SKU0004,88,265,21.0,28
2025-07-21,SKU0004,72,0,21.0,28
2025-07-28,SKU0004,69,214,21.0,28
2025-08-04,SKU0004,56,103,21.0,28
2025-08-11,SKU0004,71,239,21.0,28
2025-08-18,SKU0004,56,188,21.0,28
2025-08-25,SKU0004,50,167,21.0,28
2025-09-01,SKU0004,47,157,21.0,28
2025-09-08,SKU0004,33,0,21.0,28
2025-09-15,SKU0004,72,240,21.0,28
2025-09-22,SKU0004,41,0,21.0,28
2025-09-29,SKU0004,58,195,21.0,28
2025-10-06,SKU0004,38,129,21.0,28
2025-10-13,SKU0004,50,167,21.0,28
2025-10-20,SKU0004,34,108,21.0,28
2025-10-27,SKU0004,39,133,21.0,28
2025-11-03,SKU0004,36,120,21.0,28
2025-11-10,SKU0004,48,162,21.0,28
2025-11-17,SKU0004,71,238,21.0,28
2025-11-24,SKU0004,51,173,21.0,28
2025-12-01,SKU0004,68,227,21.0,28
2025-12-08,SKU0004,36,0,21.0,28
2025-12-15,SKU0004,86,242,21.0,28
2025-12-22,SKU0004,68,229,21.0,28
2025-12-29,SKU0004,44,135,21.0,28
2024-01-01,SKU0005,350,0,21.0,40
2024-01-08,SKU0005,325,0,21.0,40
2024-01-15,SKU0005,226,0,21.0,40
2024-01-22,SKU0005,176,0,21.0,40
2024-01-29,SKU0005,133,0,21.0,40
2024-02-05,SKU0005,74,0,,40
2024-02-12,SKU0005,91,180,21.0,40
2024-02-19,SKU0005,115,255,21.0,40
2024-02-26,SKU0005,116,297,21.0,40
2024-03-04,SKU0005,118,280,21.0,40
2024-03-11,SKU0005,76,0,21.0,40
2024-03-18,SKU0005,42,107,21.0,40
2024-03-25,SKU0005,58,195,21.0,40
2024-04-01,SKU0005,96,295,21.0,40
2024-04-08,SKU0005,48,160,21.0,40
2024-04-15,SKU0005,94,199,21.0,40
2024-04-22,SKU0005,77,125,21.0,40
2024-04-29,SKU0005,57,0,21.0,40
2024-05-06,SKU0005,65,218,21.0,40
2024-05-13,SKU0005,46,0,21.0,40
2024-05-20,SKU0005,63,170,21.0,40
2024-05-27,SKU0005,41,0,21.0,40
2024-06-03,SKU0005,73,177,21.0,40
2024-06-10,SKU0005,72,218,21.0,40
2024-06-17,SKU0005,48,0,21.0,40
2024-06-24,SKU0005,58,195,21.0,40
2024-07-01,SKU0005,75,250,21.0,40
2024-07-08,SKU0005,50,163,21.0,40
2024-07-15,SKU0005,66,220,21.0,40
2024-07-22,SKU0005,35,117,21.0,40
2024-07-29,SKU0005,101,271,21.0,40
2024-08-05,SKU0005,42,0,21.0,40
2024-08-12,SKU0005,75,250,21.0,40
2024-08-19,SKU0005,116,281,21.0,40
2024-08-26,SKU0005,91,189,21.0,40
2024-09-02,SKU0005,40,0,21.0,40
2024-09-09,SKU0005,84,216,21.0,40
2024-09-16,SKU0005,55,186,21.0,40
2024-09-23,SKU0005,54,180,21.0,40
2024-09-30,SKU0005,53,169,21.0,40
2024-10-07,SKU0005,53,178,21.0,40
2024-10-14,SKU0005,69,231,21.0,40
2024-10-21,SKU0005,84,170,21.0,40
2024-10-28,SKU0005,94,234,21.0,40
2024-11-04,SKU0005,64,168,21.0,40
2024-11-11,SKU0005,35,119,21.0,40
2024-11-18,SKU0005,108,279,21.0,40
2024-11-25,SKU0005,57,0,21.0,40
2024-12-02,SKU0005,51,171,21.0,40
2024-12-09,SKU0005,97,203,21.0,40
2024-12-16,SKU0005,69,106,21.0,40
2024-12-23,SKU0005,54,121,21.0,40
2024-12-30,SKU0005,64,216,21.0,40
2025-01-06,SKU0005,86,203,21.0,40
2025-01-13,SKU0005,64,215,21.0,40
2025-01-20,SKU0005,87,292,21.0,40
2025-01-27,SKU0005,55,0,21.0,40
2025-02-03,SKU0005,60,201,21.0,40
2025-02-10,SKU0005,86,287,21.0,40
2025-02-17,SKU0005,46,0,21.0,40
2025-02-24,SKU0005,78,263,21.0,40
2025-03-03,SKU0005,81,216,,40
2025-03-10,SKU0005,30,102,21.0,40
2025-03-17,SKU0005,74,248,21.0,40
2025-03-24,SKU0005,77,172,21.0,40
2025-03-31,SKU0005,86,160,21.0,40
2025-04-07,SKU0005,45,0,21.0,40
2025-04-14,SKU0005,33,113,21.0,40
2025-04-21,SKU0005,85,239,21.0,40
2025-04-28,SKU0005,63,112,21.0,40
2025-05-05,SKU0005,40,135,21.0,40
2025-05-12,SKU0005,57,145,21.0,40
2025-05-19,SKU0005,83,243,21.0,40
2025-05-26,SKU0005,80,202,21.0,40
2025-06-02,SKU0005,81,271,21.0,40
2025-06-09,SKU0005,67,0,21.0,40
2025-06-16,SKU0005,67,224,21.0,40
2025-06-23,SKU0005,100,259,21.0,40
2025-06-30,SKU0005,86,0,21.0,40
2025-07-07,SKU0005,73,0,21.0,40
2025-07-14,SKU0005,44,0,21.0,40
2025-07-21,SKU0005,77,247,21.0,40
2025-07-28,SKU0005,45,153,21.0,40
2025-08-04,SKU0005,96,283,21.0,40
2025-08-11,SKU0005,73,0,21.0,40
2025-08-18,SKU0005,72,108,21.0,40
2025-08-25,SKU0005,60,105,21.0,40
2025-09-01,SKU0005,36,123,21.0,40
2025-09-08,SKU0005,61,205,21.0,40
2025-09-15,SKU0005,33,110,21.0,40
2025-09-22,SKU0005,68,228,21.0,40
2025-09-29,SKU0005,54,0,21.0,40
2025-10-06,SKU0005,32,108,21.0,40
2025-10-13,SKU0005,71,198,21.0,40
2025-10-20,SKU0005,57,0,21.0,40
2025-10-27,SKU0005,45,111,21.0,40
2025-11-03,SKU0005,72,172,21.0,40
2025-11-10,SKU0005,57,0,21.0,40
2025-11-17,SKU0005,87,160,21.0,40
2025-11-24,SKU0005,55,185,21.0,40
2025-12-01,SKU0005,110,298,21.0,40
2025-12-08,SKU0005,74,163,21.0,40
2025-12-15,SKU0005,41,138,21.0,40
2025-12-22,SKU0005,45,150,21.0,40
2025-12-29,SKU0005,65,217,21.0,40
2024-01-01,SKU0006,311,0,14.0,98
2024-01-08,SKU0006,281,0,14.0,98
2024-01-15,SKU0006,186,0,14.0,98
2024-01-22,SKU0006,119,0,14.0,98
2024-01-29,SKU0006,164,291,14.0,98
2024-02-05,SKU0006,102,0,14.0,98
2024-02-12,SKU0006,151,218,14.0,98
2024-02-19,SKU0006,124,214,14.0,98
2024-02-26,SKU0006,67,141,14.0,98
2024-03-04,SKU0006,50,142,14.0,98
2024-03-11,SKU0006,58,196,14.0,98
2024-03-18,SKU0006,122,250,14.0,98
2024-03-25,SKU0006,84,112,14.0,98
2024-04-01,SKU0006,69,186,14.0,98
2024-04-08,SKU0006,50,128,14.0,98
2024-04-15,SKU0006,75,245,14.0,98
2024-04-22,SKU0006,77,259,14.0,98
2024-04-29,SKU0006,69,232,14.0,98
2024-05-06,SKU0006,33,112,14.0,98
2024-05-13,SKU0006,59,198,14.0,98
2024-05-20,SKU0006,81,273,14.0,98
2024-05-27,SKU0006,88,211,14.0,98
2024-06-03,SKU0006,113,193,14.0,98
2024-06-10,SKU0006,134,235,14.0,98
2024-06-17,SKU0006,144,192,14.0,98
2024-06-24,SKU0006,124,140,14.0,98
2024-07-01,SKU0006,104,254,14.0,98
2024-07-08,SKU0006,76,194,14.0,98
2024-07-15,SKU0006,106,165,14.0,98
2024-07-22,SKU0006,52,120,14.0,98
2024-07-29,SKU0006,86,287,14.0,98
2024-08-05,SKU0006,55,169,14.0,98
2024-08-12,SKU0006,83,214,14.0,98
2024-08-19,SKU0006,129,284,14.0,98
2024-08-26,SKU0006,144,173,14.0,98
2024-09-02,SKU0006,108,168,14.0,98
2024-09-09,SKU0006,140,165,14.0,98
2024-09-16,SKU0006,127,0,14.0,98
2024-09-23,SKU0006,104,0,14.0,98
2024-09-30,SKU0006,94,284,14.0,98
2024-10-07,SKU0006,33,110,14.0,98
2024-10-14,SKU0006,33,113,14.0,98
2024-10-21,SKU0006,41,138,14.0,98
2024-10-28,SKU0006,67,226,14.0,98
2024-11-04,SKU0006,39,131,14.0,98
2024-11-11,SKU0006,39,130,14.0,98
2024-11-18,SKU0006,41,139,14.0,98
2024-11-25,SKU0006,33,112,14.0,98
2024-12-02,SKU0006,76,219,14.0,98
2024-12-09,SKU0006,118,269,14.0,98
2024-12-16,SKU0006,118,293,14.0,98
2024-12-23,SKU0006,107,0,14.0,98
2024-12-30,SKU0006,94,202,14.0,98
2025-01-06,SKU0006,123,178,14.0,98
2025-01-13,SKU0006,160,265,14.0,98
2025-01-20,SKU0006,139,0,14.0,98
2025-01-27,SKU0006,116,0,14.0,98
2025-02-03,SKU0006,90,177,14.0,98
2025-02-10,SKU0006,50,104,14.0,98
2025-02-17,SKU0006,67,194,14.0,98
2025-02-24,SKU0006,54,151,14.0,98
2025-03-03,SKU0006,104,271,14.0,98
2025-03-10,SKU0006,131,190,14.0,98
2025-03-17,SKU0006,117,0,14.0,98
2025-03-24,SKU0006,58,116,14.0,98
2025-03-31,SKU0006,65,218,14.0,98
2025-04-07,SKU0006,66,117,14.0,98
2025-04-14,SKU0006,31,100,14.0,98
2025-04-21,SKU0006,89,290,14.0,98
2025-04-28,SKU0006,62,153,14.0,98
2025-05-05,SKU0006,53,178,14.0,98
2025-05-12,SKU0006,103,221,14.0,98
2025-05-19,SKU0006,121,229,14.0,98
2025-05-26,SKU0006,164,272,14.0,98
2025-06-02,SKU0006,149,247,14.0,98
2025-06-09,SKU0006,136,199,14.0,98
2025-06-16,SKU0006,110,124,14.0,98
2025-06-23,SKU0006,55,126,14.0,98
2025-06-30,SKU0006,123,279,14.0,98
2025-07-07,SKU0006,160,219,14.0,98
2025-07-14,SKU0006,111,136,14.0,98
